date,open,high,low,close,volume
202404010901 ,17824,17829,17669,17674,100145
202404010902 ,17674,17674,17659,17664,28844
202404010903 ,17664,17664,17654,17664,9626
202404010904 ,17664,17664,17654,17659,25962
202404010905 ,17654,17664,17654,17664,27287
202404010906 ,17664,17664,17649,17654,41844
202404010907 ,17654,17654,17649,17654,6177
202404010908 ,17654,17664,17649,17664,9830
202404010909 ,17664,17669,17659,17664,17211
202404010910 ,17664,17664,17659,17664,22115
202404010911 ,17664,17669,17659,17664,19641
202404010912 ,17664,17669,17659,17664,28833
202404010913 ,17664,17664,17659,17664,50320
202404010914 ,17664,17664,17659,17664,14856
202404010915 ,17664,17664,17659,17659,16781
202404010916 ,17659,17664,17654,17659,17242
202404010917 ,17659,17664,17659,17664,28643
202404010918 ,17664,17664,17654,17664,31876
202404010919 ,17664,17664,17654,17659,7057
202404010920 ,17659,17659,17654,17659,17761
202404010921 ,17659,17664,17659,17659,12514
202404010922 ,17654,17664,17654,17659,8834
202404010923 ,17664,17664,17659,17664,5918
202404010924 ,17664,17664,17659,17664,3619
202404010925 ,17664,17664,17659,17664,12302
202404010926 ,17664,17669,17659,17664,2412
202404010927 ,17669,17669,17664,17669,4691
202404010928 ,17669,17669,17659,17664,26418
202404010929 ,17664,17669,17659,17669,6097
202404010930 ,17669,17669,17664,17669,4951
202404010931 ,17669,17674,17664,17674,16327
202404010932 ,17674,17674,17664,17674,9811
202404010933 ,17674,17674,17669,17674,3863
202404010934 ,17674,17674,17669,17674,2475
202404010935 ,17674,17679,17674,17679,6232
202404010936 ,17679,17679,17669,17674,15758
202404010937 ,17674,17679,17669,17674,5602
202404010938 ,17674,17679,17669,17679,9502
202404010939 ,17679,17684,17674,17684,6953
202404010940 ,17684,17684,17679,17684,36038
202404010941 ,17684,17684,17679,17684,5274
202404010942 ,17684,17684,17674,17684,17477
202404010943 ,17684,17684,17674,17679,12484
202404010944 ,17679,17679,17674,17679,8904
202404010945 ,17679,17684,17674,17679,11777
202404010946 ,17679,17679,17674,17679,6290
202404010947 ,17679,17684,17674,17684,16055
202404010948 ,17684,17684,17679,17684,6185
202404010949 ,17684,17684,17674,17679,26271
202404010950 ,17679,17679,17664,17669,50463
202404010951 ,17669,17669,17664,17669,27203
202404010952 ,17669,17674,17664,17664,9570
202404010953 ,17669,17669,17654,17659,44713
202404010954 ,17659,17664,17654,17664,4059
202404010955 ,17664,17664,17659,17664,2846
202404010956 ,17664,17664,17659,17664,4882
202404010957 ,17664,17664,17659,17664,5946
202404010958 ,17664,17669,17659,17669,7850
202404010959 ,17669,17669,17664,17669,2694
202404011000 ,17669,17669,17664,17664,13586
202404011001 ,17664,17664,17659,17664,14348
202404011002 ,17664,17664,17654,17659,7834
202404011003 ,17659,17659,17654,17659,3073
202404011004 ,17659,17659,17654,17659,7928
202404011005 ,17659,17664,17654,17664,7039
202404011006 ,17664,17664,17659,17664,7315
202404011007 ,17664,17664,17659,17664,5458
202404011008 ,17664,17664,17654,17664,5304
202404011009 ,17664,17664,17659,17664,15961
202404011010 ,17664,17664,17659,17664,3899
202404011011 ,17664,17664,17659,17664,3889
202404011012 ,17664,17664,17659,17664,2615
202404011013 ,17664,17664,17659,17664,4118
202404011014 ,17664,17664,17659,17664,2198
202404011015 ,17664,17664,17659,17664,2529
202404011016 ,17664,17664,17654,17664,59211
202404011017 ,17664,17664,17659,17664,2305
202404011018 ,17664,17664,17659,17664,6810
202404011019 ,17664,17664,17659,17664,5747
202404011020 ,17664,17664,17659,17664,10741
202404011021 ,17664,17674,17664,17674,31786
202404011022 ,17674,17674,17669,17674,4884
202404011023 ,17674,17679,17674,17679,6573
202404011024 ,17679,17679,17674,17679,4653
202404011025 ,17679,17679,17674,17679,14764
202404011026 ,17679,17679,17674,17679,2037
202404011027 ,17679,17679,17669,17674,5955
202404011028 ,17674,17674,17669,17674,2893
202404011029 ,17674,17674,17669,17674,2075
202404011030 ,17674,17674,17669,17674,3700
202404011031 ,17674,17674,17664,17674,24828
202404011032 ,17674,17674,17669,17674,2226
202404011033 ,17674,17679,17669,17674,7430
202404011034 ,17679,17679,17669,17674,6168
202404011035 ,17674,17679,17669,17679,58052
202404011036 ,17679,17679,17669,17679,6042
202404011037 ,17679,17689,17674,17689,18645
202404011038 ,17689,17689,17679,17684,5429
202404011039 ,17684,17684,17679,17684,9120
202404011040 ,17684,17689,17679,17684,2079
202404011041 ,17679,17684,17679,17684,1860
202404011042 ,17684,17684,17679,17684,7413
202404011043 ,17684,17684,17674,17684,9371
202404011044 ,17684,17684,17674,17684,3691
202404011045 ,17684,17684,17679,17684,3523
202404011046 ,17684,17684,17679,17684,9751
202404011047 ,17684,17684,17679,17684,2467
202404011048 ,17684,17689,17679,17689,2767
202404011049 ,17689,17689,17679,17689,2734
202404011050 ,17689,17689,17684,17689,5200
202404011051 ,17689,17694,17684,17694,76303
202404011052 ,17694,17694,17684,17689,7144
202404011053 ,17689,17689,17684,17689,23715
202404011054 ,17684,17689,17684,17689,1418
202404011055 ,17689,17689,17684,17689,8012
202404011056 ,17689,17689,17684,17689,3412
202404011057 ,17689,17689,17684,17689,5259
202404011058 ,17689,17689,17684,17689,4518
202404011059 ,17689,17689,17684,17689,6406
202404011100 ,17689,17689,17684,17689,4401
202404011101 ,17689,17689,17679,17689,69849
202404011102 ,17689,17689,17684,17689,6037
202404011103 ,17689,17689,17684,17689,5499
202404011104 ,17689,17689,17684,17689,2097
202404011105 ,17689,17689,17679,17684,14409
202404011106 ,17684,17689,17684,17689,3942
202404011107 ,17689,17689,17679,17684,2554
202404011108 ,17684,17689,17679,17684,6295
202404011109 ,17684,17684,17684,17684,2432
202404011110 ,17684,17684,17679,17679,5555
202404011111 ,17684,17684,17679,17684,1131
202404011112 ,17684,17684,17679,17684,8677
202404011113 ,17684,17684,17679,17684,2336
202404011114 ,17684,17684,17679,17684,55042
202404011115 ,17684,17684,17679,17684,63342
202404011116 ,17684,17684,17679,17679,3123
202404011117 ,17679,17684,17674,17679,1090
202404011118 ,17679,17684,17674,17684,2073
202404011119 ,17679,17684,17674,17684,2580
202404011120 ,17684,17684,17679,17679,3617
202404011121 ,17684,17684,17674,17684,2668
202404011122 ,17684,17684,17679,17684,3237
202404011123 ,17684,17684,17679,17684,3979
202404011124 ,17684,17684,17679,17684,4985
202404011125 ,17684,17684,17679,17684,2482
202404011126 ,17679,17694,17679,17694,23095
202404011127 ,17694,17699,17689,17694,41057
202404011128 ,17689,17699,17689,17694,2811
202404011129 ,17694,17694,17689,17694,1560
202404011130 ,17694,17694,17689,17694,1876
202404011131 ,17694,17694,17689,17694,6801
202404011132 ,17689,17694,17689,17689,2542
202404011133 ,17694,17694,17689,17694,7070
202404011134 ,17694,17694,17689,17694,4619
202404011135 ,17694,17694,17694,17694,4021
202404011136 ,17694,17694,17689,17694,5636
202404011137 ,17694,17694,17689,17694,2319
202404011138 ,17689,17694,17689,17689,3142
202404011139 ,17694,17694,17684,17689,35502
202404011140 ,17689,17689,17679,17684,12656
202404011141 ,17684,17684,17679,17684,1142
202404011142 ,17684,17684,17684,17684,1539
202404011143 ,17684,17684,17679,17684,2456
202404011144 ,17684,17684,17684,17684,1469
202404011145 ,17684,17689,17679,17689,2627
202404011146 ,17689,17689,17684,17689,2734
202404011147 ,17689,17689,17684,17689,1232
202404011148 ,17689,17689,17684,17689,2395
202404011149 ,17689,17689,17684,17689,3235
202404011150 ,17689,17689,17684,17689,3130
202404011151 ,17689,17689,17684,17689,2803
202404011152 ,17689,17689,17684,17689,3138
202404011153 ,17689,17689,17684,17689,6033
202404011154 ,17689,17689,17684,17689,2906
202404011155 ,17689,17689,17684,17689,2067
202404011156 ,17689,17689,17679,17684,5532
202404011157 ,17684,17684,17679,17684,2687
202404011158 ,17684,17684,17679,17684,1760
202404011159 ,17684,17684,17679,17684,3130
202404011200 ,17684,17684,17679,17684,1091
202404011201 ,17684,17684,17679,17684,1213
202404011202 ,17684,17684,17684,17684,2006
202404011203 ,17689,17689,17684,17684,1187
202404011204 ,17684,17689,17684,17689,3195
202404011205 ,17689,17689,17679,17689,1956
202404011206 ,17689,17689,17684,17689,3028
202404011207 ,17689,17689,17679,17684,1783
202404011208 ,17684,17689,17684,17689,3229
202404011209 ,17689,17689,17684,17689,6171
202404011210 ,17694,17694,17684,17689,1411
202404011211 ,17689,17689,17684,17689,2227
202404011212 ,17689,17689,17684,17689,2592
202404011213 ,17689,17689,17689,17689,1132
202404011214 ,17689,17689,17684,17689,1854
202404011215 ,17689,17689,17684,17689,1473
202404011216 ,17694,17694,17689,17694,2488
202404011217 ,17694,17694,17689,17694,14272
202404011218 ,17694,17694,17694,17694,981
202404011219 ,17694,17694,17689,17694,3198
202404011220 ,17694,17694,17689,17694,1658
202404011221 ,17694,17694,17689,17694,2725
202404011222 ,17694,17694,17689,17694,2934
202404011223 ,17694,17694,17689,17694,1573
202404011224 ,17694,17694,17689,17694,1859
202404011225 ,17694,17694,17689,17694,2444
202404011226 ,17694,17694,17689,17694,4701
202404011227 ,17694,17694,17694,17694,2124
202404011228 ,17694,17699,17694,17699,5522
202404011229 ,17699,17699,17699,17699,2013
202404011230 ,17699,17699,17694,17699,1739
202404011231 ,17699,17699,17694,17699,6333
202404011232 ,17699,17699,17689,17699,4152
202404011233 ,17699,17699,17694,17699,3216
202404011234 ,17699,17699,17694,17699,1346
202404011235 ,17699,17699,17694,17699,2999
202404011236 ,17699,17699,17694,17699,2201
202404011237 ,17699,17699,17694,17699,2731
202404011238 ,17699,17699,17694,17699,1118
202404011239 ,17699,17699,17694,17699,6656
202404011240 ,17699,17699,17689,17694,5152
202404011241 ,17694,17699,17694,17699,18299
202404011242 ,17704,17704,17694,17699,21155
202404011243 ,17699,17704,17699,17704,6268
202404011244 ,17704,17704,17694,17699,13338
202404011245 ,17699,17699,17694,17699,21738
202404011246 ,17699,17704,17694,17704,38653
202404011247 ,17704,17704,17699,17704,27188
202404011248 ,17704,17704,17699,17704,7675
202404011249 ,17704,17704,17699,17704,2285
202404011250 ,17704,17704,17699,17704,3706
202404011251 ,17704,17704,17699,17704,2494
202404011252 ,17704,17704,17699,17704,1322
202404011253 ,17699,17704,17699,17704,2354
202404011254 ,17704,17704,17699,17704,1575
202404011255 ,17704,17704,17699,17704,7546
202404011256 ,17704,17704,17699,17704,1484
202404011257 ,17704,17704,17699,17704,13219
202404011258 ,17704,17704,17699,17704,2120
202404011259 ,17704,17704,17699,17704,4369
202404011300 ,17704,17704,17699,17704,3001
202404011301 ,17704,17704,17699,17704,3042
202404011302 ,17704,17704,17699,17704,2627
202404011303 ,17704,17709,17704,17709,2813
202404011304 ,17709,17709,17704,17709,4234
202404011305 ,17709,17709,17704,17704,4383
202404011306 ,17704,17709,17699,17709,5484
202404011307 ,17704,17709,17704,17709,3188
202404011308 ,17709,17709,17704,17709,1069
202404011309 ,17709,17709,17704,17709,4454
202404011310 ,17709,17714,17704,17714,15301
202404011311 ,17714,17714,17704,17714,8001
202404011312 ,17714,17714,17709,17714,2744
202404011313 ,17714,17714,17709,17714,4550
202404011314 ,17714,17719,17714,17714,12013
202404011315 ,17714,17719,17709,17714,2772
202404011316 ,17714,17719,17709,17714,3892
202404011317 ,17714,17719,17714,17714,1679
202404011318 ,17714,17719,17709,17719,3211
202404011319 ,17714,17719,17709,17719,2193
202404011320 ,17719,17719,17709,17719,2842
202404011321 ,17719,17719,17709,17714,5587
202404011322 ,17714,17714,17709,17714,1952
202404011323 ,17714,17714,17709,17714,976
